"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"216","H0MN02134",2022,"C00702662",237745
"217","H0MN04049",2022,"C00354688",234887
"218","H0MN07091",2022,"C00717959",238181
"219","H0MN07091",2022,"C00702688",239062
"220","H0MO03237",2022,"C00745505",238065
"221","H0MO04086",2022,"C00493783",235139
"222","H0MO05182",2022,"C00704197",236833
"223","H0MO05182",2022,"C00801522",243197
"224","H0MO05240",2022,"C00741330",237864
"225","H0MO06073",2022,"C00359034",234888
"226","H0MO06073",2022,"C00588822",235678
"227","H0MO06206",2022,"C00741736",237894
"228","H0MO07279",2022,"C00753541",237853
"229","H0MS02082",2022,"C00736223",238079
"230","H0MS04120",2022,"C00477323",235151
"231","H0MS04161",2022,"C00711416",239096
"232","H0MT00074",2022,"C00814590",244832
"233","H0MT00090",2022,"C00700963",237096
"234","H0MT00090",2022,"C00793182",244325
"235","H0NC02059",2022,"C00493783",235140
"236","H0NC02059",2022,"C00797878",244563
"237","H0NC02125",2022,"C00729277",237643
"238","H0NC02158",2022,"C00731885",238719
"239","H0NC03149",2022,"C00697250",236100
"240","H0NC03172",2022,"C00697649",236156
"241","H0NC04220",2022,"C00744847",244298
"242","H0NC06209",2022,"C00716159",238987
"243","H0NC06241",2022,"C00732651",239232
"244","H0NC06266",2022,"C00814475",244817
"245","H0NC09187",2022,"C00699660",237009
"246","H0NC10177",2022,"C00610444",235752
"247","H0NC10177",2022,"C00478933",236006
"248","H0NC11175",2022,"C00727800",238708
"249","H0NC11191",2022,"C00732099",238010
"250","H0NC11217",2022,"C00795773",244583
"251","H0NC11233",2022,"C00732958",238299
"252","H0NE03217",2022,"C00738823",237262
"253","H0NE03225",2022,"C00741868",238335
"254","H0NH01282",2022,"C00734491",237425
"255","H0NH01282",2022,"C00702696",238860
"256","H0NH02181",2022,"C00462861",235061
"257","H0NH02181",2022,"C00526210",235189
"258","H0NH02280",2022,"C00740357",239227
"259","H0NJ05174",2022,"C00702720",237800
"260","H0NJ05174",2022,"C00775643",245722
"261","H0NJ05174",2022,"C00706275",236776
"262","H0NJ05240",2022,"C00755405",238771
"263","H0NJ07261",2022,"C00763250",238633
"264","H0NJ07261",2022,"C00703058",236707
"265","H0NJ07261",2022,"C00702738",237801
"266","H0NJ07261",2022,"C00775650",245723
"267","H0NJ08137",2022,"C00727933",238381
"268","H0NJ09200",2022,"C00739581",238725
"269","H0NJ10216",2022,"C00713891",238637
"270","H0NJ11024",2022,"C00722199",238208
"271","H0NM01189",2022,"C00724245",237978
"272","H0NM03102",2022,"C00704049",237074
"273","H0NV04023",2022,"C00700898",236072
"274","H0NV04023",2022,"C00775692",245344
"275","H0NV04023",2022,"C00773549",245215
"276","H0NY01202",2022,"C00728832",237421
"277","H0NY02192",2022,"C00706549",236904
"278","H0NY02234",2022,"C00729954",238515
"279","H0NY03075",2022,"C00712398",239185
"280","H0NY03083",2022,"C00721365",237850
"281","H0NY03083",2022,"C00775726",245809
"282","H0NY03083",2022,"C00762237",238936
"283","H0NY05088",2022,"C00797100",242671
"284","H0NY06086",2022,"C00731802",237775
"285","H0NY07092",2022,"C00727644",238918
"286","H0NY09080",2022,"C00695437",236573
"287","H0NY10138",2022,"C00739201",239173
"288","H0NY11078",2022,"C00702787",237812
"289","H0NY11078",2022,"C00694778",236926
"290","H0NY15160",2022,"C00699744",237011
"291","H0NY16143",2022,"C00709196",237998
"292","H0NY17174",2022,"C00711150",238432
"293","H0NY17281",2022,"C00731422",237550
"294","H0NY19204",2022,"C00702803",237814
"295","H0NY19204",2022,"C00737650",238593
"296","H0NY20111",2022,"C00818963",245816
"297","H0NY20111",2022,"C00701755",236242
