"","DRA.Office","ID","State","Dem.2020.Pres.%","Rep.2020.Pres.%","2020.White.%","Dem-Rep.2020"
"86","Representative","7","CO",0.556961227094718,0.415231700236799,0.748912632309681,0.141729526857918
"87","Representative","8","CO",0.508056547845253,0.46259668734397,0.517244867417524,0.0454598605012833
"88","Representative","1","CT",0.632870144012801,0.352070184016357,0.570392781919857,0.280799959996444
"89","Representative","2","CT",0.547212782417538,0.432489155217623,0.780240381148882,0.114723627199914
"90","Representative","3","CT",0.592223263470806,0.394985136717175,0.607115471811134,0.197238126753631
"91","Representative","4","CT",0.649020220883364,0.337011906069645,0.569241904687953,0.312008314813719
"92","Representative","5","CT",0.546186435935034,0.438761347227974,0.633391524274497,0.10742508870706
"93","Representative","1","FL",0.328879848038104,0.65104521055417,0.69409311498256,-0.322165362516066
"94","Representative","2","FL",0.438628500903773,0.548252220559367,0.632815536757317,-0.109623719655595
"95","Representative","3","FL",0.423540383403468,0.564201276656299,0.650486661180597,-0.140660893252831
"96","Representative","4","FL",0.459231815176578,0.526073126005763,0.521219519487897,-0.0668413108291855
"97","Representative","5","FL",0.413617570274319,0.570989508225841,0.646693213003805,-0.157371937951521
"98","Representative","6","FL",0.376560113934796,0.612914013371904,0.713151357022234,-0.236353899437108
"99","Representative","7","FL",0.465709030393273,0.521016674119388,0.614721906968218,-0.0553076437261148
"100","Representative","8","FL",0.405230587632848,0.581186288422231,0.715536887318469,-0.175955700789383
"101","Representative","9","FL",0.58097327249404,0.407057045623613,0.300315514007028,0.173916226870428
"102","Representative","10","FL",0.651215755766589,0.334364054778881,0.354838206445222,0.316851700987709
"103","Representative","11","FL",0.440814319663783,0.549387153041992,0.593807241351965,-0.108572833378209
"104","Representative","12","FL",0.350745121064698,0.637344125705978,0.752587357859445,-0.286599004641279
"105","Representative","13","FL",0.459851624365819,0.527337535760829,0.739817295679655,-0.0674859113950097
"106","Representative","14","FL",0.5881523236369,0.39699297038208,0.463903091569263,0.19115935325482
"107","Representative","15","FL",0.477383394347,0.508656172857905,0.510867488017098,-0.0312727785109052
"108","Representative","16","FL",0.449473768857936,0.538156936040802,0.598284498213127,-0.0886831671828662
"109","Representative","17","FL",0.415649185053775,0.574875263332964,0.755355093009681,-0.159226078279188
"110","Representative","18","FL",0.380339443158099,0.608131922028447,0.553021823377157,-0.227792478870348
"111","Representative","19","FL",0.391166610137032,0.601350712158025,0.697397756951513,-0.210184102020992
"112","Representative","20","FL",0.757333677060414,0.234692654032698,0.206230719130133,0.522641023027716
"113","Representative","21","FL",0.448676160979546,0.542920515560124,0.639349419737631,-0.0942443545805777
"114","Representative","22","FL",0.583917913290834,0.408094379397049,0.506553391747484,0.175823533893785
"115","Representative","23","FL",0.561986570685379,0.430340572258182,0.551736107048559,0.131645998427197
"116","Representative","24","FL",0.741124519326544,0.251474467712628,0.176186037562677,0.489650051613916
"117","Representative","25","FL",0.595342236888529,0.396625884648112,0.325355132010177,0.198716352240417
"118","Representative","26","FL",0.4050327682461,0.588030328193467,0.19399886378557,-0.182997559947366
"119","Representative","27","FL",0.494635303397687,0.497826624337919,0.171703580635474,-0.0031913209402315
"120","Representative","28","FL",0.464562730552043,0.527913915582259,0.150811015299894,-0.0633511850302158
"121","Representative","1","GA",0.426383883736043,0.560226265729308,0.575891637706711,-0.133842381993265
"122","Representative","2","GA",0.547355430960394,0.443609495956254,0.399419973155134,0.10374593500414
"123","Representative","3","GA",0.343306837156279,0.644443982788305,0.64366857656678,-0.301137145632026
"124","Representative","4","GA",0.78305044796808,0.20598394441997,0.258171433799264,0.577066503548109
