"","Candidate","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num","Fundraising_Total","index","full_district","Special","Winner"
"96","John Fetterman",1,"Pennsylvania","PA","Senator","0",1,1,0,0,0,0,0,0,0,23545207,"97","PA-0",0,1
"97","Ashley Ehasz",1,"Pennsylvania","PA","Representative","1",0,1,0,0,0,0,0,0,0,465743,"98","PA-1",0,0
"98","Brendan F. Boyle",1,"Pennsylvania","PA","Representative","2",1,1,0,0,0,0,0,1,0,249977,"99","PA-2",0,1
"99","Madeleine Dean",1,"Pennsylvania","PA","Representative","4",0,1,0,0,0,0,0,1,0,416911,"101","PA-4",0,1
"100","Mary Gay Scanlon",1,"Pennsylvania","PA","Representative","5",0,1,0,0,0,0,0,1,0,382763,"102","PA-5",0,1
"101","Chrissy Houlahan",1,"Pennsylvania","PA","Representative","6",0,1,0,0,0,0,0,1,0,1124998,"103","PA-6",0,1
"102","Susan Wild",1,"Pennsylvania","PA","Representative","7",0,1,0,0,0,0,0,1,0,2421256,"104","PA-7",0,1
"103","Matt Cartwright",1,"Pennsylvania","PA","Representative","8",1,1,0,0,0,0,0,1,0,1522324,"105","PA-8",0,1
"104","Amanda R. Waldman",1,"Pennsylvania","PA","Representative","9",0,1,0,0,0,0,0,0,0,8950,"106","PA-9",0,0
"105","Shamaine Daniels",1,"Pennsylvania","PA","Representative","10",0,0,0,0,1,0,0,0,0,189366,"107","PA-10",0,0
"106","Bob Hollister",1,"Pennsylvania","PA","Representative","11",1,1,0,0,0,0,0,0,0,104834,"108","PA-11",0,0
"107","Summer Lee",1,"Pennsylvania","PA","Representative","12",0,0,1,0,0,0,0,0,0,417129,"109","PA-12",0,1
"108","Dan Pastore",1,"Pennsylvania","PA","Representative","16",1,1,0,0,0,0,0,0,0,169323,"110","PA-16",0,0
"109","Chris Deluzio",1,"Pennsylvania","PA","Representative","17",1,1,0,0,0,0,0,0,0,1600905,"111","PA-17",0,1
"110","Taysha DeVaughan",1,"Virginia","VA","Representative","9",0,0,0,0,0,0,1,0,0,19072,"112","VA-9",0,0
"111","Will Boyd",1,"Alabama","AL","Senator","0",1,0,1,0,0,0,0,0,0,50840,"113","AL-0",0,0
"112","Phyllis Harvey-Hall",1,"Alabama","AL","Representative","2",0,0,1,0,0,0,0,0,0,11672,"114","AL-2",0,0
"113","Lin Veasey",1,"Alabama","AL","Representative","3",0,0,0,0,0,0,0,0,0,1300,"115","AL-3",0,0
"114","Rick Neighbors",1,"Alabama","AL","Representative","4",1,1,0,0,0,0,0,0,0,9010,"116","AL-4",0,0
"115","Kathy Warner-Stanton",1,"Alabama","AL","Representative","5",0,0,1,0,0,0,0,0,0,6035,"117","AL-5",0,0
"116","Terrycina Sewell",1,"Alabama","AL","Representative","7",0,0,1,0,0,0,0,1,0,242945,"118","AL-7",0,1
"117","Natalie James",1,"Arkansas","AR","Senator","0",0,0,1,0,0,0,0,0,0,13935,"119","AR-0",0,0
