"","Candidate","Last_name","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num"
"81","Cheri Beasley","BEASLEY",1,"North Carolina","NC","Senator","0",0,0,1,0,0,0,0,0,0
"82","Don Davis","DAVIS",1,"North Carolina","NC","Representative","1",1,0,1,0,0,0,0,0,0
"83","Deborah K. Ross","ROSS",1,"North Carolina","NC","Representative","2",0,1,0,0,0,0,0,1,0
"84","Barbara D. Gaskins","GASKINS",1,"North Carolina","NC","Representative","3",0,0,1,0,0,0,0,0,0
"85","Valerie P. Foushee","FOUSHEE",1,"North Carolina","NC","Representative","4",0,0,1,0,0,0,0,0,0
"86","Kyle Parrish","PARRISH",1,"North Carolina","NC","Representative","5",1,1,0,0,0,0,0,0,0
"87","Kathy Manning","MANNING",1,"North Carolina","NC","Representative","6",0,1,0,0,0,0,0,1,0
"88","Charles Graham","GRAHAM",1,"North Carolina","NC","Representative","7",1,1,0,0,0,0,0,0,0
"89","Scott Huffman","HUFFMAN",1,"North Carolina","NC","Representative","8",1,1,0,0,0,0,0,0,0
"90","Ben Clark","CLARK",1,"North Carolina","NC","Representative","9",1,0,1,0,0,0,0,0,0
"91","Pam Genant","GENANT",1,"North Carolina","NC","Representative","10",0,1,0,0,0,0,0,0,0
"92","Jasmine Beach-Ferrara","FERRARA",1,"North Carolina","NC","Representative","11",0,1,0,0,0,0,0,0,0
"93","Alma S. Adams","ADAMS",1,"North Carolina","NC","Representative","12",0,0,1,0,0,0,0,1,0
"94","Wiley Nickel","NICKEL",1,"North Carolina","NC","Representative","13",1,1,0,0,0,0,0,0,0
"95","Jeff Jackson","JACKSON",1,"North Carolina","NC","Representative","14",1,1,0,0,0,0,0,0,0
"96","John Fetterman","FETTERMAN",1,"Pennsylvania","PA","Senator","0",1,1,0,0,0,0,0,0,0
"97","Ashley Ehasz","EHASZ",1,"Pennsylvania","PA","Representative","1",0,1,0,0,0,0,0,0,0
"98","Brendan F. Boyle","BOYLE",1,"Pennsylvania","PA","Representative","2",1,1,0,0,0,0,0,1,0
"99","Dwight Evans","EVANS",1,"Pennsylvania","PA","Representative","3",1,0,1,0,0,0,0,1,0
"100","Madeleine Dean","DEAN",1,"Pennsylvania","PA","Representative","4",0,1,0,0,0,0,0,1,0
"101","Mary Gay Scanlon","SCANLON",1,"Pennsylvania","PA","Representative","5",0,1,0,0,0,0,0,1,0
"102","Chrissy Houlahan","HOULAHAN",1,"Pennsylvania","PA","Representative","6",0,1,0,0,0,0,0,1,0
"103","Susan Wild","WILD",1,"Pennsylvania","PA","Representative","7",0,1,0,0,0,0,0,1,0
"104","Matt Cartwright","CARTWRIGHT",1,"Pennsylvania","PA","Representative","8",1,1,0,0,0,0,0,1,0
"105","Amanda R. Waldman","WALDMAN",1,"Pennsylvania","PA","Representative","9",0,1,0,0,0,0,0,0,0
"106","Shamaine Daniels","DANIELS",1,"Pennsylvania","PA","Representative","10",0,0,0,0,1,0,0,0,0
"107","Bob Hollister","HOLLISTER",1,"Pennsylvania","PA","Representative","11",1,1,0,0,0,0,0,0,0
"108","Summer Lee","LEE",1,"Pennsylvania","PA","Representative","12",0,0,1,0,0,0,0,0,0
"109","Dan Pastore","PASTORE",1,"Pennsylvania","PA","Representative","16",1,1,0,0,0,0,0,0,0
"110","Chris Deluzio","DELUZIO",1,"Pennsylvania","PA","Representative","17",1,1,0,0,0,0,0,0,0
"111","Taysha DeVaughan","DEVAUGHAN",1,"Virginia","VA","Representative","9",0,0,0,0,0,0,1,0,0
"112","Will Boyd","BOYD",1,"Alabama","AL","Senator","0",1,0,1,0,0,0,0,0,0
"113","Phyllis Harvey-Hall","HALL",1,"Alabama","AL","Representative","2",0,0,1,0,0,0,0,0,0
"114","Lin Veasey","VEASEY",1,"Alabama","AL","Representative","3",0,0,0,0,0,0,0,0,0
"115","Rick Neighbors","NEIGHBORS",1,"Alabama","AL","Representative","4",1,1,0,0,0,0,0,0,0
"116","Kathy Warner-Stanton","STANTON",1,"Alabama","AL","Representative","5",0,0,1,0,0,0,0,0,0
"117","Terrycina Sewell","SEWELL",1,"Alabama","AL","Representative","7",0,0,1,0,0,0,0,1,0
"118","Natalie James","JAMES",1,"Arkansas","AR","Senator","0",0,0,1,0,0,0,0,0,0
"119","Monte Hodges","HODGES",1,"Arkansas","AR","Representative","1",1,0,1,0,0,0,0,0,0
"120","Quintessa Hathaway","HATHAWAY",1,"Arkansas","AR","Representative","2",0,0,1,0,0,0,0,0,0
"121","Lauren Mallett-Hays","HAYS",1,"Arkansas","AR","Representative","3",0,1,0,0,0,0,0,0,0
"122","John White","WHITE",1,"Arkansas","AR","Representative","4",1,1,0,0,0,0,0,0,0
"123","Raphael Warnock","WARNOCK",1,"Georgia","GA","Senator","0",1,0,1,0,0,0,0,1,0
"124","Wade Herring","HERRING",1,"Georgia","GA","Representative","1",1,1,0,0,0,0,0,0,0
"125","Sanford Bishop","BISHOP",1,"Georgia","GA","Representative","2",1,0,1,0,0,0,0,1,0
"126","Val Almonord","ALMONORD",1,"Georgia","GA","Representative","3",1,0,1,0,0,0,0,0,0
"127","Henry C. ""Hank"" Johnson Jr.","JOHNSON",1,"Georgia","GA","Representative","4",1,0,1,0,0,0,0,1,0
"128","Nikema Williams","WILLIAMS",1,"Georgia","GA","Representative","5",0,0,1,0,0,0,0,1,0
"129","Bob Christian","CHRISTIAN",1,"Georgia","GA","Representative","6",1,1,0,0,0,0,0,0,0
"130","Lucy McBath","MCBATH",1,"Georgia","GA","Representative","7",0,0,1,0,0,0,0,1,0
"131","Darrius Butler","BUTLER",1,"Georgia","GA","Representative","8",1,0,1,0,0,0,0,0,0
"132","Michael ""Mike"" Ford","FORD",1,"Georgia","GA","Representative","9",1,1,0,0,0,0,0,0,0
"133","Tabitha Johnson-Green","GREEN",1,"Georgia","GA","Representative","10",0,0,1,0,0,0,0,0,0
"134","Antonio Daza","DAZA",1,"Georgia","GA","Representative","11",1,0,0,0,1,0,0,0,0
"135","Elizabeth ""Liz"" Johnson","JOHNSON",1,"Georgia","GA","Representative","12",0,0,1,0,0,0,0,0,0
"136","David Scott","SCOTT",1,"Georgia","GA","Representative","13",1,0,1,0,0,0,0,1,0
"137","Marcus Flowers","FLOWERS",1,"Georgia","GA","Representative","14",1,0,1,0,0,0,0,0,0
"138","Melanie Ann Stansbury","STANSBURY",1,"New Mexico","NM","Representative","1",0,1,0,0,0,0,0,1,0
"139","Gabriel Vasquez","VASQUEZ",1,"New Mexico","NM","Representative","2",1,0,0,0,1,0,0,0,0
"140","Teresa Leger Fernandez","FERNANDEZ",1,"New Mexico","NM","Representative","3",0,0,0,0,1,0,0,1,0
"141","Dianne Black","BLACK",1,"Mississippi","MS","Representative","1",0,0,1,0,0,0,0,0,0
"142","Bennie G. Thompson","THOMPSON",1,"Mississippi","MS","Representative","2",1,0,1,0,0,0,0,1,0
"143","Shuwaski A. Young","YOUNG",1,"Mississippi","MS","Representative","3",1,0,1,0,0,0,0,0,0
"144","Johnny L. DuPree ","DUPREE",1,"Mississippi","MS","Representative","4",1,0,1,0,0,0,0,0,0
"145","Monica Tranel","TRANEL",1,"Montana","MT","Representative","1",0,1,0,0,0,0,0,0,0
"146","Penny Ronning","RONNING",1,"Montana","MT","Representative","2",0,1,0,0,0,0,0,0,0
"147","Michael Franken","FRANKEN",1,"Iowa","IA","Senator","0",1,1,0,0,0,0,0,0,0
"148","Christina Bohannan","BOHANNAN",1,"Iowa","IA","Representative","1",0,1,0,0,0,0,0,0,0
"149","Liz Mathis","MATHIS",1,"Iowa","IA","Representative","2",0,1,0,0,0,0,0,0,0
"150","Cindy Axne","AXNE",1,"Iowa","IA","Representative","3",0,1,0,0,0,0,0,1,0
"151","Ryan Melton","MELTON",1,"Iowa","IA","Representative","4",1,1,0,0,0,0,0,0,0
"152","Brian L. Bengs","BENGS",1,"South Dakota","SD","Senator","0",1,1,0,0,0,0,0,0,0
"153","Donald W. Norcross","NORCROSS",1,"New Jersey","NJ","Representative","1",1,1,0,0,0,0,0,1,0
"154","Tim Alexander","ALEXANDER",1,"New Jersey","NJ","Representative","2",1,0,1,0,0,0,0,0,0
"155","Andy Kim","KIM",1,"New Jersey","NJ","Representative","3",1,0,0,1,0,0,0,1,0
"156","Matthew Jenkins","JENKINS",1,"New Jersey","NJ","Representative","4",1,1,0,0,0,0,0,0,0
"157","Josh Gottheimer","GOTTHEIMER",1,"New Jersey","NJ","Representative","5",1,1,0,0,0,0,0,1,0
"158","Frank Pallone Jr.","PALLONE",1,"New Jersey","NJ","Representative","6",1,1,0,0,0,0,0,1,0
"159","Tom Malinowski","MALINOWSKI",1,"New Jersey","NJ","Representative","7",1,1,0,0,0,0,0,1,0
"160","Robert J. Menendez","MENENDEZ",1,"New Jersey","NJ","Representative","8",1,0,0,0,1,0,0,0,0
"161","Bill Pascrell Jr.","PASCRELL",1,"New Jersey","NJ","Representative","9",1,1,0,0,0,0,0,1,0
"162","Donald M. Payne Jr.","PAYNE",1,"New Jersey","NJ","Representative","10",1,0,1,0,0,0,0,1,0
"163","Mikie Sherrill","SHERRILL",1,"New Jersey","NJ","Representative","11",0,1,0,0,0,0,0,1,0
"164","Bonnie Watson Coleman","COLEMAN",1,"New Jersey","NJ","Representative","12",0,0,1,0,0,0,0,1,0
"165","Alex Padilla","PADILLA",1,"California","CA","Senator","0",1,0,0,0,1,0,0,1,0
"166","Max Steiner","STEINER",1,"California","CA","Representative","1",1,1,0,0,0,0,0,0,0
"167","Jared Huffman","HUFFMAN",1,"California","CA","Representative","2",1,1,0,0,0,0,0,1,0
"168","Kermit Jones","JONES",1,"California","CA","Representative","3",1,0,1,0,0,0,0,0,0
"169","Mike Thompson","THOMPSON",1,"California","CA","Representative","4",1,1,0,0,0,0,0,1,0
"170","Michael J. ""Mike"" Barkley","BARKLEY",1,"California","CA","Representative","5",1,1,0,0,0,0,0,0,0
"171","Ami Bera","BERA",1,"California","CA","Representative","6",1,0,0,1,0,0,0,1,0
"172","Doris Matsui","MATSUI",1,"California","CA","Representative","7",0,0,0,1,0,0,0,1,0
"173","John Garamendi","GARAMENDI",1,"California","CA","Representative","8",1,1,0,0,0,0,0,1,0
"174","Josh Harder","HARDER",1,"California","CA","Representative","9",1,1,0,0,0,0,0,1,0
"175","Mark DeSaulnier","DESAULNIER",1,"California","CA","Representative","10",1,1,0,0,0,0,0,1,0
"176","Nancy Pelosi","PELOSI",1,"California","CA","Representative","11",0,1,0,0,0,0,0,1,0
"177","Barbara Lee","LEE",1,"California","CA","Representative","12",0,0,1,0,0,0,0,1,0
"178","Adam Gray","GRAY",1,"California","CA","Representative","13",1,1,0,0,0,0,0,0,0
"179","Eric Swalwell","SWALWELL",1,"California","CA","Representative","14",1,1,0,0,0,0,0,1,0
"180","David J. Canepa","CANEPA",1,"California","CA","Representative","15",1,1,0,0,0,0,0,0,0
"181","Kevin Mullin","MULLIN",1,"California","CA","Representative","15",1,1,0,0,0,0,0,0,0
"182","Anna G. Eshoo","ESHOO",1,"California","CA","Representative","16",0,0,0,0,0,1,0,1,0
"183","Rishi Kumar","KUMAR",1,"California","CA","Representative","16",1,0,0,1,0,0,0,0,0
"184","Ro Khanna","KHANNA",1,"California","CA","Representative","17",1,0,0,1,0,0,0,1,0
"185","Zoe Lofgren","LOFGREN",1,"California","CA","Representative","18",0,1,0,0,0,0,0,1,0
"186","Jimmy Panetta","PANETTA",1,"California","CA","Representative","19",1,1,0,0,0,0,0,1,0
"187","Marisa Wood","WOOD",1,"California","CA","Representative","20",0,1,0,0,0,0,0,0,0
"188","Jim Costa","COSTA",1,"California","CA","Representative","21",1,1,0,0,0,0,0,1,0
"189","Rudy Salas","SALAS",1,"California","CA","Representative","22",1,0,0,0,1,0,0,0,0
"190","Derek Marshall","MARSHALL",1,"California","CA","Representative","23",1,1,0,0,0,0,0,0,0
"191","Salud Carbajal","CARBAJAL",1,"California","CA","Representative","24",1,0,0,0,1,0,0,1,0
"192","Raul Ruiz","RUIZ",1,"California","CA","Representative","25",1,0,0,0,1,0,0,1,0
"193","Julia Brownley","BROWNLEY",1,"California","CA","Representative","26",0,1,0,0,0,0,0,1,0
"194","Christy Smith","SMITH",1,"California","CA","Representative","27",0,1,0,0,0,0,0,0,0
"195","Judy Chu","CHU",1,"California","CA","Representative","28",0,0,0,1,0,0,0,1,0
"196","Tony Cardenas","CARDENAS",1,"California","CA","Representative","29",1,0,0,0,1,0,0,1,0
"197","Angélica María Dueñas","DUENAS",1,"California","CA","Representative","29",0,0,0,0,1,0,0,0,0
"198","G ""Maebe A. Girl"" Pudlo","PUDLO",1,"California","CA","Representative","30",0,1,0,0,0,0,0,0,0
"199","Adam B. Schiff","SCHIFF",1,"California","CA","Representative","30",1,1,0,0,0,0,0,1,0
"200","Grace F. Napolitano","NAPOLITANO",1,"California","CA","Representative","31",0,0,0,0,1,0,0,1,0
"201","Brad Sherman","SHERMAN",1,"California","CA","Representative","32",1,1,0,0,0,0,0,1,0
"202","Pete Aguilar","AGUILAR",1,"California","CA","Representative","33",1,0,0,0,1,0,0,1,0
"203","Jimmy Gomez","GOMEZ",1,"California","CA","Representative","34",1,0,0,0,1,0,0,1,0
"204","David Kim","KIM",1,"California","CA","Representative","34",1,0,0,1,0,0,0,0,0
"205","Norma J. Torres","TORRES",1,"California","CA","Representative","35",0,0,0,0,1,0,0,1,0
"206","Ted W. Lieu","LIEU",1,"California","CA","Representative","36",1,0,0,1,0,0,0,1,0
"207","Sydney Kamlager","KAMLAGER",1,"California","CA","Representative","37",0,1,1,0,0,0,0,0,0
