TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR,SOURCE
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",45,Grandparents responsible for grandchildren,"20,901","+/-3,089",31.8,+/-3.8,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",45.9,Years responsible for grandchildren,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",46,Less than 1 year,"3,422","+/-1,139",5.2,+/-1.7,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",47,1 or 2 years,"3,284","+/-1,221",5.0,+/-1.9,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",48,3 or 4 years,"2,992","+/-1,084",4.6,+/-1.7,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",49,5 or more years,"11,203","+/-2,393",17.1,+/-3.0,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",49.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",50,Number of grandparents responsible for own grandchildren under 18 years,"20,901","+/-3,089","20,901",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",51,Who are female,"13,747","+/-2,267",65.8,+/-4.6,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",52,Who are married,"10,889","+/-2,416",52.1,+/-8.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",52.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",52.5,SCHOOL ENROLLMENT,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",53,Population 3 years and over enrolled in school,"707,157","+/-11,196","707,157",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",54,"Nursery school, preschool","27,940","+/-3,300",4.0,+/-0.5,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",55,Kindergarten,"25,330","+/-2,870",3.6,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",56,Elementary school (grades 1-8),"265,224","+/-5,115",37.5,+/-0.9,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",57,High school (grades 9-12),"148,693","+/-5,730",21.0,+/-0.8,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",58,College or graduate school,"239,970","+/-9,734",33.9,+/-0.9,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",58.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",58.5,EDUCATIONAL ATTAINMENT,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",59,Population 25 years and over,"2,401,409","+/-3,490","2,401,409",(X),
